FULL VALIDATION MODE: 1978 prompts

=== MiniLM L6 v2 ===  (sentence-transformers/all-MiniLM-L6-v2)
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 18775.02it/s]
[1mBertModel LOAD REPORT[0m from: sentence-transformers/all-MiniLM-L6-v2
Key                     | Status     |  | 
------------------------+------------+--+-
embeddings.position_ids | UNEXPECTED |  | 

Notes:
- UNEXPECTED:	can be ignored when loading from different task/architecture; not ok if you expect identical arch.
  load       : 3.1s
  encode 1978 prompts: 3202ms total, 1.6ms/prompt   dim=384
  cos same-domain pairs: mean=0.389  diff-domain: mean=0.044  separation Δ=0.345

--- MiniLM head predictions ---
prompt                                               | top-1 (score)        | target ok?
Tolérance dimensionnelle ISO 2768 pour pièces méca   | typescript         0.92 | ✗ (target=calcul-normatif)
Calcul de l'effort axial sur une vis selon ISO 898   | chat-fr            1.00 | ✗ (target=calcul-normatif)
Norme EN 13501 pour réaction au feu — classes A1 à   | power              1.00 | ✗ (target=calcul-normatif)
Norme EN ISO 13849 pour la sécurité des machines —   | chat-fr            0.99 | ✗ (target=calcul-normatif)
Procédure de validation selon IEC 60601-2-2 — bist   | yaml-json          0.94 | ✗ (target=calcul-normatif)
Norme SAE J2602 pour LIN bus auto                    | kicad-dsl          0.93 | ✗ (target=calcul-normatif)
Calcul de l'atténuation Cat6A selon TIA-568          | chat-fr            0.88 | ✗ (target=calcul-normatif)
AUTOSAR vs OSEK pour un ECU automobile               | shell              0.99 | ✗ (target=calcul-normatif)
Norme IEC 62305 pour protection foudre — niveaux L   | typescript         0.90 | ✗ (target=calcul-normatif)
Décalage de fréquence d'une horloge — limite EN 55   | music-audio        0.98 | ✗ (target=calcul-normatif)
ITU-T G.703 pour interface E1 télécom                | typescript         0.98 | ✗ (target=calcul-normatif)
Quelle harmonisation EN 50549 pour onduleur photov   | chat-fr            1.00 | ✗ (target=calcul-normatif)
Norme EN 14604 pour détecteur de fumée domestique    | chat-fr            1.00 | ✗ (target=calcul-normatif)
Calcul de la zone protégée selon IEC 62305-3         | kicad-dsl          0.96 | ✗ (target=calcul-normatif)
Test de surtension selon IEC 61000-4-5 sur une ali   | emc                0.93 | ✗ (target=calcul-normatif)
Norme EN 50121-3-2 pour CEM ferroviaire embarquée    | chat-fr            0.90 | ✗ (target=calcul-normatif)
Norme EN ISO 4628 pour évaluation des défauts de p   | chat-fr            0.99 | ✗ (target=calcul-normatif)
Entiendo, ¿puedes poner ejemplos de aplicaciones a   | chat-fr            1.00 | ✓
¿Puedes explicarme el porqué de la expansión del U   | chat-fr            1.00 | ✓
Imagina que eres un docente de química con muchos    | typescript         0.99 | ✗ (target=chat-fr)
¿Cuáles han sido los videojuegos mas importantes d   | chat-fr            1.00 | ✓
Come costruisco in generale la forma in trapassato   | docker             0.98 | ✗ (target=chat-fr)
Prends soin de toi                                   | docker             0.97 | ✗ (target=chat-fr)
Dame un resumen de la primera guerra mundial, come   | chat-fr            1.00 | ✓
¿Cuál es el mejor método para ordenar una habitaci   | reasoning          1.00 | ✗ (target=chat-fr)
Estoy pensando en comprarme una planta de interior   | chat-fr            1.00 | ✓
Crea un poema de tres estrofas de cuatro versos qu   | math               0.99 | ✗ (target=chat-fr)
crea un plan de área para la signatura de informát   | chat-fr            0.99 | ✓
À demain                                             | music-audio        1.00 | ✗ (target=chat-fr)
Fes un llistat de les 10 religions amb més seguido   | chat-fr            1.00 | ✓
No estoy en España estoy en Colombia, más específi   | chat-fr            0.95 | ✓
Hablando de teoría musical, cuál es el sentido o s   | music-audio        1.00 | ✗ (target=chat-fr)
C'est génial                                         | power              1.00 | ✗ (target=chat-fr)
Método del Perceptrón biclásico: definición y vari   | reasoning          0.95 | ✗ (target=chat-fr)
What model are you?                                  | yaml-json          0.96 | ✗ (target=chat-fr)
Bonjour !                                            | chat-fr            1.00 | ✓
En que estadio se jugara el partido del Real Madri   | chat-fr            0.98 | ✓
Hello, I need some help                              | docker             1.00 | ✗ (target=chat-fr)
En que plataformas online podría desplegar gratis    | web-backend        1.00 | ✗ (target=chat-fr)
No entenc què vols dir amb "departament" o "compta   | chat-fr            0.99 | ✓
¿Cual sería una forma adecuada de desarrollar una    | chat-fr            1.00 | ✓
Estás en una situación limite y tienes que elegir    | chat-fr            1.00 | ✓
Qué cosas importantes tengo que hacer este mes, qu   | chat-fr            1.00 | ✓
¿Quién llegó primero al mundo, la gallina o el hue   | chat-fr            1.00 | ✓
Tailandia se encuentra en la zona horaria GMT+7 y    | lua-upy            0.97 | ✗ (target=chat-fr)
El superpoder de volar indicaria el desig d'accedi   | chat-fr            1.00 | ✓
et quel pourcentage de ces financements reçoit les   | chat-fr            1.00 | ✓
Hi there                                             | reasoning          1.00 | ✗ (target=chat-fr)
¿Quién es el director de la película "Inception"?    | chat-fr            1.00 | ✓
Eso no es lo que pedí, ¿Puedes darme ejemplos de s   | chat-fr            1.00 | ✓
Cual es la mejor forma de calentar una habitación?   | chat-fr            1.00 | ✓
En que se diferencia Open Assistant de ChatGPT?      | chat-fr            0.99 | ✓
Y de todas ellas, ¿por cuál que debería empezar?     | reasoning          0.99 | ✗ (target=chat-fr)
¿Cómo puedo hacer para que el vídeo deje un mensaj   | chat-fr            1.00 | ✓
D'accord                                             | reasoning          1.00 | ✗ (target=chat-fr)
¿Cuál es el impacto de la tecnología en la cultura   | chat-fr            1.00 | ✓
Tu peux te présenter ?                               | chat-fr            1.00 | ✓
¿Cuál es la esperanza de vida de una persona en Bo   | chat-fr            1.00 | ✓
Hi, who are you?                                     | reasoning          1.00 | ✗ (target=chat-fr)
en que fecha del año me es conveniente viajar a Es   | web-frontend       0.91 | ✗ (target=chat-fr)
¿Has tenido que tomar una decisión difícil en algú   | chat-fr            1.00 | ✓
¿Qué cosas hay que tener en cuenta a la hora de ir   | chat-fr            1.00 | ✓
Parmi les applications que tu as listé, quelles so   | chat-fr            0.99 | ✓
Para que sirve una tarjeta postal?                   | chat-fr            1.00 | ✓
Cuales son las leyes de Newton y un breve ejemplo    | lua-upy            1.00 | ✗ (target=chat-fr)
¿Cómo puedo empezar una introducción en mi TFG ace   | dsp                0.99 | ✗ (target=chat-fr)
Con la misma biblioteca NumPy me gustaría calcular   | chat-fr            0.98 | ✓
Me gustaría que me dieras alguna receta con las fr   | python             0.98 | ✗ (target=chat-fr)
en que link puedo verlo en tiempo real               | reasoning          0.99 | ✗ (target=chat-fr)
¿Qué significa la F en argot fotográfico?            | chat-fr            0.99 | ✓
Y en lo referente a notas, que hace falta para pas   | chat-fr            0.99 | ✓
¿Como puedes comprobarme lo que mencionas?           | chat-fr            0.99 | ✓
Escriu una cançó d'amor sobre un dimoni i un àngel   | chat-fr            1.00 | ✓
Ordena las técnicas de Jiu Jitsu de mayor a menor    | chat-fr            1.00 | ✓
Quiero que me crees una carta para san Valentín      | chat-fr            0.99 | ✓
¿Puedes ser más específica? ¿Si la manzana no es u   | chat-fr            1.00 | ✓
Crea un script en Bash que recorra todos los fiche   | shell              1.00 | ✗ (target=chat-fr)
Gracias por la ayuda, trataré de poner estos conse   | chat-fr            0.99 | ✓
List your features                                   | docker             0.99 | ✗ (target=chat-fr)
Crea una poesía acerca de la luna.                   | chat-fr            1.00 | ✓
¿De que trata la primera opción?                     | reasoning          0.99 | ✗ (target=chat-fr)
¿Podrías describir el funcionamiento de los mercad   | chat-fr            1.00 | ✓
Merci per la resposta, crec que ja ho tinc clar      | chat-fr            1.00 | ✓
nan c'est pas possible, la Lune ne se déplace pas    | chat-fr            1.00 | ✓
Comment puis-je t'appeler ?                          | web-frontend       1.00 | ✗ (target=chat-fr)
Me refiero a que respondas cómo creas que lo haría   | chat-fr            1.00 | ✓
las variantes del español que se hablan en los dif   | chat-fr            0.98 | ✓
¿Cuánta distancia hay entre los dos lugares que me   | chat-fr            1.00 | ✓
estoy eligiendo mi outfit para la boda de mi mejor   | chat-fr            1.00 | ✓
Peux-tu me donner d'autres images ou proverbes qui   | chat-fr            1.00 | ✓
C'est sympa                                          | chat-fr            1.00 | ✓
Escribe un ensayo persuasivo que defienda los bene   | chat-fr            1.00 | ✓
Hablame más sobre la biografía de Francisco Umbral   | chat-fr            1.00 | ✓
¿Me podrías decir en una frase, que intenta defend   | chat-fr            1.00 | ✓
Bonne chance                                         | docker             1.00 | ✗ (target=chat-fr)
Necesito que me des tres definiciones sobre qué es   | chat-fr            1.00 | ✓
Un amigo me ha recomendado un par de webs que cont   | spice-sim          0.99 | ✗ (target=chat-fr)
Quiero que me cuentes 5 curiosidades sobre star tr   | chat-fr            1.00 | ✓
No mencionaste cuáles funciones en particular te g   | lua-upy            0.97 | ✗ (target=chat-fr)
Entiendo. ¿Podrías ahora escribir el inicio de una   | chat-fr            1.00 | ✓
Tenint en compte les dades proporcionades, Quina s   | chat-fr            1.00 | ✓
Sérieux ?                                            | chat-fr            0.99 | ✓
¿Es importante tener acceso a hablantes nativos de   | chat-fr            1.00 | ✓
Escríbeme un poema que rime con las palabras, tije   | chat-fr            1.00 | ✓
¿Como agrupar datos de un DataFrame por varias col   | python             0.99 | ✗ (target=chat-fr)
¿Qué es la astronomía y cuáles son algunos de sus    | chat-fr            1.00 | ✓
Me has dicho sus títulos, los equipos en los que h   | reasoning          0.99 | ✗ (target=chat-fr)
I don't know                                         | dsp                0.99 | ✗ (target=chat-fr)
Explique detalhadamente de que modo você chegou a    | chat-fr            1.00 | ✓
Soc un gran apassionat de Mercè Rodoreda, però no    | chat-fr            1.00 | ✓
Bonne soirée à toi aussi                             | chat-fr            0.99 | ✓
Eso es cierto. Por tanto, cual puede ser una buena   | chat-fr            1.00 | ✓
Mi vida no es muy saludable, me gustaría saber que   | chat-fr            0.97 | ✓
Liste de tes fonctions                               | power              0.96 | ✗ (target=chat-fr)
Bonjour, comment vas-tu ?                            | chat-fr            1.00 | ✓
¿Me podrías indicar por qué la trayectoria de la T   | chat-fr            1.00 | ✓
cual es el sentido de la vida?                       | chat-fr            1.00 | ✓
Puedes crear un programa en c++ dónde dependiendo    | cpp                1.00 | ✗ (target=chat-fr)
Hazme un juego del ahogado en python que cumpla co   | python             1.00 | ✗ (target=chat-fr)
Escribe un poema sobre la paz, este tiene que rima   | chat-fr            1.00 | ✓
Hi, can we speak in French?                          | power              0.99 | ✗ (target=chat-fr)
Explica'm per què la frase "alls secs mai couen" s   | chat-fr            1.00 | ✓
Mi madre está envejeciendo y tengo miedo de que mu   | chat-fr            0.99 | ✓
Si pudieras viajar en el tiempo a cualquier moment   | chat-fr            1.00 | ✓
Bonjour, dis-moi qui tu es                           | music-audio        1.00 | ✗ (target=chat-fr)
What's today's date?                                 | docker             1.00 | ✗ (target=chat-fr)
quiero que me expliques como funciona tu codigo      | chat-fr            0.99 | ✓
Podrias proporcionarme la fuente de la información   | chat-fr            1.00 | ✓
Tiens, salut, ça fait plaisir de te voir             | chat-fr            1.00 | ✓
Dame un ejemplo de uso en el que sea mejor utiliza   | chat-fr            1.00 | ✓
Recomiéndame una extensión de Chrome que me ayude    | chat-fr            1.00 | ✓
Pues puedes explicarme diferentes cosas, como los    | chat-fr            1.00 | ✓
S'il te plaît                                        | music-audio        1.00 | ✗ (target=chat-fr)
¿Me puedes ayudar con un programa de Python? Neces   | python             1.00 | ✗ (target=chat-fr)
¿Puedes buscar en internet lo último que ha dicho    | chat-fr            1.00 | ✓
Hay algún detalle mas que deba conocer               | chat-fr            1.00 | ✓
Good luck                                            | docker             1.00 | ✗ (target=chat-fr)
Gracias, pero me gustaría que se tratara sobre ani   | chat-fr            0.97 | ✓
Tu es disponible ?                                   | chat-fr            0.99 | ✓
That's crazy                                         | docker             1.00 | ✗ (target=chat-fr)
Merci, c'est gentil                                  | chat-fr            1.00 | ✓
¡Juguemos! Elige secretamente un número del 1 al 1   | lua-upy            0.99 | ✗ (target=chat-fr)
¿Qué tipo de música me recomiendas para el momento   | music-audio        1.00 | ✗ (target=chat-fr)
¿Puedes genera palabras claves de este párrafo?

"   | chat-fr            1.00 | ✓
Anem a jugar al tres en ratlla, començo possant la   | chat-fr            1.00 | ✓
Présente ton fonctionnement                          | python             0.99 | ✗ (target=chat-fr)
Acabo de cumplir la edad suficiente para beber alc   | power              0.98 | ✗ (target=chat-fr)
Cuales son los puntos más importantes, sobre la se   | web-backend        0.99 | ✗ (target=chat-fr)
He estado sintiéndome triste durante las últimas s   | chat-fr            1.00 | ✓
¿Y cómo podría, una vez ya he interesado a la clas   | reasoning          0.99 | ✗ (target=chat-fr)
le puedes agregar un parte dedicada a la teoría M    | chat-fr            1.00 | ✓
What time is it?                                     | reasoning          1.00 | ✗ (target=chat-fr)
Quines són les millors dates per visitar el Penedè   | chat-fr            1.00 | ✓
Porqué los cables coaxiales son usados en sistemas   | electronics        0.95 | ✗ (target=chat-fr)
Continúa con su historia hasta que llega a ser cam   | chat-fr            1.00 | ✓
Tu fais quoi ?                                       | chat-fr            1.00 | ✓
Bonne nuit                                           | chat-fr            1.00 | ✓
Mi puoi per favore spiegare il significato di feno   | chat-fr            1.00 | ✓
¿De qué manera está constituida la conexión de un    | chat-fr            0.99 | ✓
Explica la suma de vectores de manera simple expli   | math               1.00 | ✗ (target=chat-fr)
Me gustaría crear un sistema de magia para un vide   | chat-fr            0.99 | ✓
Quiero que, al final, la gente tenga los conocimie   | chat-fr            0.97 | ✓
¿Podrías describirme cuales son las leyes de la fí   | chat-fr            1.00 | ✓
¿Cuáles son las mejores películas de la historia d   | chat-fr            1.00 | ✓
puedes escribir en negrita todos los verbos, subra   | chat-fr            1.00 | ✓
¿Que es el número gugol y que relación tiene con G   | chat-fr            0.98 | ✓
Cuál es la distancia más larga a la que un cable c   | chat-fr            1.00 | ✓
Comment se passe ta semaine ?                        | web-frontend       0.99 | ✗ (target=chat-fr)
Escribe un articulo hablando sobre el sistema sola   | chat-fr            1.00 | ✓
Continúa escribiendo una canción de Namie dedicada   | chat-fr            0.98 | ✓
Compara el tamaño de la Gran Colombia en su máxima   | spice-sim          0.99 | ✗ (target=chat-fr)
Dime diez características que tangan los líderes c   | math               0.99 | ✗ (target=chat-fr)
¿Cual es el sentido del universo en el que vivimos   | chat-fr            1.00 | ✓
¿Puedes escribirme una página web html que cuente    | html-css           0.99 | ✗ (target=chat-fr)
Mio cugino dice che le padelle antiaderenti, i col   | chat-fr            1.00 | ✓
Menjar pastanaga ajuda a la digestió                 | power              0.99 | ✗ (target=chat-fr)
¿Que carrera recomendarias estudiar y con que hobb   | chat-fr            1.00 | ✓
¿Cuál es la diferencia de un IDE y un editor de có   | chat-fr            1.00 | ✓
Merci beaucoup                                       | power              0.99 | ✗ (target=chat-fr)
Hello, can I ask a question?                         | docker             1.00 | ✗ (target=chat-fr)
Bonjour, comment allez-vous ?                        | chat-fr            1.00 | ✓
Porque no existe la raíz cuadrada de un número neg   | chat-fr            1.00 | ✓
Quiero hacer un viaje en bicicleta por Argentina,    | chat-fr            0.96 | ✓
Dame ejemplos de aplicaciones del grafeno en el ca   | electronics        0.97 | ✗ (target=chat-fr)
¿Podrías darme recomendaciones para destapar un in   | chat-fr            0.99 | ✓
C'est incroyable                                     | power              1.00 | ✗ (target=chat-fr)
¿cuanto tiempo toma cocinar la pechuga?, le tengo    | chat-fr            0.99 | ✓
Perfecto gracias por toda la información.            | chat-fr            0.98 | ✓
¿Cuáles son las principales diferencias entre el m   | chat-fr            1.00 | ✓
Podes explicarme que es la plataforma de twitch co   | music-audio        1.00 | ✗ (target=chat-fr)
Tengo una hija de 5 años sin conocimientos informá   | chat-fr            0.97 | ✓
¿Y qué tipo de auriculares hay sin cables de gama    | music-audio        1.00 | ✗ (target=chat-fr)
¿Podrías escribirme una historia en la que el prot   | chat-fr            1.00 | ✓
Quiero hacer una bufanda para mi tío ¿Me puedes de   | chat-fr            1.00 | ✓
Qué dice Antonio Turiel sobre la crisis de energét   | chat-fr            1.00 | ✓
Tu parles plusieurs langues ?                        | chat-fr            1.00 | ✓
Recomiéndame una lista de música en idioma japonés   | music-audio        0.99 | ✗ (target=chat-fr)
Discutons un peu                                     | chat-fr            1.00 | ✓
Ok. Entonces cuanto mayor sea el número de entrena   | chat-fr            1.00 | ✓
Tu connais la météo ?                                | music-audio        1.00 | ✗ (target=chat-fr)
Qué opinas de otras inteligencias artificiales com   | chat-fr            0.98 | ✓
¿La línea ecuatorial de la Tierra se encuentra ali   | chat-fr            1.00 | ✓
¿Podría darme algunas ideas para algunos pasatiemp   | chat-fr            1.00 | ✓
Haz un resumen de la biografía de Pelé               | chat-fr            1.00 | ✓
¿Quién descubrió América? ¿Porqué se dice que en r   | spice-sim          0.99 | ✗ (target=chat-fr)
Mejores cantantes de la historia?                    | chat-fr            1.00 | ✓
Dame instrucciones más detalladas sobre como elabo   | chat-fr            0.95 | ✓
Puedes decirme tres animales que tengan el color v   | chat-fr            1.00 | ✓
Comment je répond poliment que franchement ca ne m   | chat-fr            1.00 | ✓
Compile a C++ program, called "my_program", with t   | cpp                1.00 | ✓
Create a C++ class Student which contains name, ag   | cpp                1.00 | ✓
Design a while loop in C++ that prints every third   | cpp                1.00 | ✓
Write a C++ program to print out a multiplication    | cpp                1.00 | ✓
Write a C++ program to determine the greatest comm   | cpp                1.00 | ✓
Write a C++ program that calculates the area of a    | cpp                1.00 | ✓
Compile the following code in C++ and check for an   | cpp                1.00 | ✓
Write a function in C++ that takes an integer arra   | cpp                1.00 | ✓
Write C++ code to create a class 'Fruit' that has    | cpp                1.00 | ✓
Write an optimization problem in C++ to minimize t   | cpp                1.00 | ✓
Compile the example program that prints "Hello, Wo   | cpp                1.00 | ✓
Write a C++ program to apply a Caesar cipher to a    | cpp                1.00 | ✓
How to clear the console screen in C++?              | cpp                1.00 | ✓
Create a C++ function that takes in an array and a   | cpp                1.00 | ✓
Implement a sorting algorithm in C++.                | cpp                1.00 | ✓
Create a C++ program for printing a pyramid patter   | cpp                1.00 | ✓
Write a C++ code that implements the selection sor   | cpp                1.00 | ✓
Create a for loop in C++ to traverse a list of str   | cpp                1.00 | ✓
Generate a valid C++ code to implement a linked li   | cpp                1.00 | ✓
Write a C++ code to find the average of an array o   | cpp                1.00 | ✓
What is the output of this C++ code for n = 3?       | cpp                1.00 | ✓
Describe the differences between the stack and the   | cpp                1.00 | ✓
Create a C++ code to display the following pattern   | cpp                1.00 | ✓
Replace all vowels in a given string with the char   | cpp                1.00 | ✓
Write a C++ code to generate the Fibonacci sequenc   | cpp                1.00 | ✓
Change the following string to lowercase using C++   | cpp                1.00 | ✓
Compile and execute the following C++ program        | cpp                1.00 | ✓
Write C++ code to implement a stack data structure   | cpp                1.00 | ✓
Write a C++ program to sort an array in ascending    | cpp                1.00 | ✓
Find the lowest common ancestor in a binary tree i   | cpp                1.00 | ✓
Write a C++ program to print out the first 5 lines   | cpp                1.00 | ✓
How is data stored in a binary tree in C++?          | cpp                1.00 | ✓
Create a C++ program to input two numbers and prin   | cpp                1.00 | ✓
Update the C++ code below to generate a Fibonacci    | cpp                1.00 | ✓
Create a C++ program to concatenate two string var   | cpp                1.00 | ✓
Construct the following C++ class.                   | cpp                1.00 | ✓
Create a C++ program to output the Fibonacci Seque   | cpp                1.00 | ✓
Create a program in C++ to print the first 10 numb   | cpp                1.00 | ✓
TGiven the following C++ code, implement a functio   | cpp                1.00 | ✓
Create a C++ function to determine the number of i   | cpp                1.00 | ✓
Write a C++ program to make an average of given 10   | cpp                1.00 | ✓
Explain what a constructor is and how it is used i   | typescript         1.00 | ✗ (target=cpp)
Create a C++ program to calculate the median of th   | cpp                1.00 | ✓
Implement an algorithm in C++ for finding the larg   | cpp                1.00 | ✓
What is a Hash Table in C++?                         | cpp                1.00 | ✓
Explain static and dynamic dispatch in C++.          | cpp                1.00 | ✓
Design a C++ program to convert a given number fro   | cpp                1.00 | ✓
Create an array in C++ with 4 elements.              | cpp                1.00 | ✓
Explain in your own words what is a pointer in C++   | cpp                1.00 | ✓
Write a C++ program to read and print an array of    | cpp                1.00 | ✓
Sort an array of integers in C++.                    | cpp                1.00 | ✓
Use C++ to implement the bubble sort algorithm.      | cpp                1.00 | ✓
Define a class in C++ to represent a movie theater   | cpp                1.00 | ✓
Write a C++ code snippet to search for a given val   | cpp                1.00 | ✓
Create a C++ code to find the average of n numbers   | cpp                1.00 | ✓
What are the key differences between C and C++?      | cpp                1.00 | ✓
Create a function in C++ that will sort a given ar   | cpp                1.00 | ✓
Create a C++ program that takes a string as input    | cpp                1.00 | ✓
Rewrite this C++ function in Python                  | cpp                1.00 | ✓
Create a C++ function to print all possible paths    | cpp                1.00 | ✓
Create a function in C++ to print the Fibonacci nu   | cpp                1.00 | ✓
Formulate an algorithm in C++ to find the maximum    | cpp                1.00 | ✓
Write an algorithm in C++ for linear search.         | cpp                1.00 | ✓
Create a function in C++ that capitalizes the firs   | cpp                1.00 | ✓
Write a C++ program to print the following sequenc   | cpp                1.00 | ✓
Create a C++ object class that stores information    | cpp                1.00 | ✓
Compute the square root of 150 using C++.            | cpp                1.00 | ✓
Explain the difference between a variable and a co   | cpp                1.00 | ✓
Write a class in C++ to represent a person with th   | cpp                1.00 | ✓
Create a C++ program that uses command line argume   | cpp                1.00 | ✓
Create a C++ class called "TV".                      | cpp                1.00 | ✓
In C++, create a class called 'Point' that stores    | cpp                1.00 | ✓
Write a C++ program to print out the sum of the fi   | cpp                1.00 | ✓
Add the two following numbers in C++.                | cpp                1.00 | ✓
Create a C++ program to calculate the sum of numbe   | cpp                1.00 | ✓
Write a function in C++ to check if the given arra   | cpp                1.00 | ✓
Generate a C++ code with a loop from 0 to 20 which   | cpp                1.00 | ✓
Develop a C++ program to find the volume of a cyli   | cpp                1.00 | ✓
Write a C++ statement to create an array of 10 ele   | cpp                1.00 | ✓
Create a function in C++ that takes in two integer   | cpp                1.00 | ✓
Design a C++ class to count the occurrences of a c   | cpp                1.00 | ✓
Identify all the variables in this C++ program.      | cpp                1.00 | ✓
Write code to evaluate the following expression in   | cpp                1.00 | ✓
Write a C++ method to calculate the Fibonacci seri   | cpp                1.00 | ✓
Implement a function in C++ to return the inverse    | cpp                1.00 | ✓
Generate code in C++ for performing Bubble Sort      | cpp                1.00 | ✓
Write a C++ program to generate a Fibonacci sequen   | cpp                1.00 | ✓
Correct the following C++ code by adding missing s   | cpp                1.00 | ✓
Suppose you are given an array of active processes   | cpp                1.00 | ✓
Construct a C++ class to store a matrix.             | cpp                1.00 | ✓
Explain what are pointers in C++.                    | cpp                1.00 | ✓
Declare a C++ structure that stores data about emp   | cpp                1.00 | ✓
Format a given date as mm/dd/yyyy using C++.         | cpp                1.00 | ✓
Determine the output of this code snippet in C++:    | cpp                1.00 | ✓
Change the following C++ program so that it return   | cpp                1.00 | ✓
Write a function in C++ which takes a string as an   | cpp                1.00 | ✓
Compose a query to find the titles of the movies r   | docker             1.00 | ✗ (target=devops)
Compose a for loop in Java to print the numbers fr   | docker             1.00 | ✗ (target=devops)
Deploy a basic HTML page to a server.                | html-css           1.00 | ✗ (target=devops)
Set up Prometheus alert rules pour high CPU et low   | devops             0.99 | ✓
Create a regular expression pattern to match a str   | python             1.00 | ✗ (target=devops)
Compose a program to reverse a list of numbers       | python             1.00 | ✗ (target=devops)
Compose a JavaScript code to sum all odd numbers i   | lua-upy            1.00 | ✗ (target=devops)
Compose a SQL query that returns the total number    | sql                1.00 | ✗ (target=devops)
Compose a CSS code to make all the text elements b   | html-css           1.00 | ✗ (target=devops)
Compose an HTML webpage with a title and two parag   | html-css           1.00 | ✗ (target=devops)
Compose a CSS code to display a textbox with a wid   | html-css           1.00 | ✗ (target=devops)
Create a virtual machine using Terraform.            | docker             0.99 | ✗ (target=devops)
Compose a new CSS class to give the text element a   | python             1.00 | ✗ (target=devops)
Compose a regular expression to extract the first    | docker             1.00 | ✗ (target=devops)
Create a dockerfile to deploy a python app.          | shell              1.00 | ✗ (target=devops)
Compose a PHP code to store the data entered by th   | sql                1.00 | ✗ (target=devops)
Docker 4-stage build for a Go binary < 10 MB         | shell              1.00 | ✗ (target=docker)
Comment limiter la RAM d'un container Docker ?       | shell              0.99 | ✗ (target=docker)
Use SSH agent forwarding inside docker run for git   | math               0.99 | ✗ (target=docker)
